,estado,populacao
0,Rondônia,1562409
1,Acre,733559
2,Amazonas,3483985
3,Roraima,450479
4,Pará,7581050
5,Amapá,669525
6,Tocantins,1383445
7,Maranhão,6574788
8,Piauí,3118360
9,Ceará,8452381
10,Rio Grande do Norte,3168027
11,Paraíba,3766527
12,Pernambuco,8796447
13,Alagoas,3120494
14,Sergipe,2068017
15,Bahia,14016906
16,Minas Gerais,19597330
17,Espírito Santo,3514952
18,Rio de Janeiro,15989929
19,São Paulo,41262199
20,Paraná,10444526
21,Santa Catarina,6248436
22,Rio Grande do Sul,10693929
23,Mato Grosso do Sul,2449024
24,Mato Grosso,3035122
25,Goiás,6003788
26,Distrito Federal,2570159
